,,,,,,,,,
,Topic area ,Sub topic area ,Unit ,Number of lesson ,key unit competency ,Learning objectives ,,,Activities 
,,,,,,Knowledge and understanding,Skills,Attitudes and values,
,Draft the melody composition plan,"
Melody for instrument and voice","Proper drafting/or analysis of the concept note
",6,Learners should be able to create a compositon plan with instrument and voices,"Describe a  sequence of single notes that is musically satisfying ( Melody, tune, air, or song)",Use melody for singing ,Analyse melogy for instrument to  criticize  Rwandan/ artist composition ,Learners use voices to make a melody 
,,,,,,Describe the purpose of a compostion ,Use melody for playing ,Analyse melogy for voice to  criticize Rwandan  artist composition ,Learners use instrument in group to make a melody 
,,,,,,Describe  Melody for Instrument ,Use melody for dancing ,Compare Rwandan artist  and international artist melody,In Group learners use different melodies categories to make a composition
,,,,,,Describe   Melody for Voice ,Use Melody categories ,,
,,,,,,Describe melody categories,,,
,,,,,,Difference between former and latter ,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,, Proper setting of work conditions in accordance with standards. ,4,Learners should be able to choose the appropriate setting for work condition ,Describe the setting for appropriate  physical conditions,"Use inspring book, documentaries, ICT equipment (including printer), and decor. ",Compare instrument and voice melody for different  work condition settings ,In Group Simulate proper work conditions for melody composition in our class environment.
,,,,,,Describe the setting for appropriate mental conditions ,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Reasonable setting of objectives,3,,Explain Management Theory - Specific / Measurable/ Attainable/ Realistic/Time-bound ,Apply the management theory to compose a melody ,Compare different composition and criticize the professional action plan ,In group learners conduct reasearch of Rwanda and international composition and relate them to the standard of a good professional action plan 
,,,,,,Describe a professional action plan : Identification of work/Projection of outcomes/ Potential benefits and challenges/Resources to allocate/Time/Schedule/Execution/Delivery and dissemination/Evaluation,Use a professional action plan in a composition ,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Generate melody ideas ,Generate melody ideas ,Proper creation of initial melody idea,6,,Explain the Foreground,Apply  the initial melody idea,"Categorize the most common genre , style and form used by Rwandan artists",In group apply the initial melody 
,,,,,,"Explain  the melody and its relation to genre, style and form","Distinguish  the melody and its relation to genre, style and form",Compare melody ideas from different time,
,,,,,,Describe Pitches and perfect pitches ,Apply different pitches in a melody ,,
,,,,,,Describe function of pitches,Apply different scales degrees in a melody ,,
,,,,,,Expalin  scales degrees,Apply chromatic major scale and solfege in a compostion ,,
,,,,,,Define Chromatic major scale ,,,
,,,,,,Expalin solfege names ,,,
,,,,,,,,,
,,,,,,,,,
,,,Seven Modal scales ,4,,"Explain Ionian (do , re, mi, fa, sol, la, ti, do)",Apply lonian in a melody idea,Create melody with several modal scales ,In group learners create melody with several modal scales 
,,,,,,"Explain Dorian (do, re, me, fa, sol, la te, do)",Apply Dorian in a melody ,,Learners to recorgnize a melody using Inner hearing 
